School_Name,Address,City_Town,Postal_Code,School_Board,School_ID,Breakfast,Lunch,Snack
Lanor Junior Middle School,450 Lanor Ave,Toronto,M8W2S1,Toronto DSB,308048,Yes, , 
Leslieville Jr PS ,254 Leslie St,Toronto,M4M3C9,Toronto DSB,311812,Yes, , 
Lord Dufferin PS,350 Parliament St,Toronto,M5A2Z7,Toronto DSB,320919,Yes,Yes, 
Lord Lansdowne PS,33 Robert St,Toronto,M5S2K2,Toronto DSB,308560,Yes, ,Yes
Lord Roberts Junior Public School,165 Lord Roberts Dr,Toronto,..,Toronto DSB,321699,Yes, , 
Loretto Abbey,101 Mason Blvd,Toronto,M5M3E2,Toronto CDSB,728055,Yes, , 
Loretto College C.S.S.,151 Rosemount Ave,Toronto,M6H2N1,Toronto CDSB,728063,Yes, , 
Lucy McCormick Sr. School,2717 Dundas St W,Toronto,M6P1Y1,Toronto DSB,675326,Yes, , 
Lynnwood Heights Junior Public School,50 Southlawn Dr,Toronto,M1S1J1,Toronto DSB,326500,Yes, , 
Madbaich Women's Initiative,..,Toronto,M9C2Y3,..,…,, ,Yes
Madonna Catholic S.S.,20 Dubray Ave,Toronto,M3K1V5,Toronto CDSB,729019,Yes, , 
Malvern Jr PS,70 Mammoth Hall Trail,Toronto,M1B1P6,Toronto DSB,331635,Yes, , 
